title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
6bdrm Duplex in Lekki Phase 1 for sale,500,6,6,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 1,300,000,000"
4bdrm Duplex in Chevron for sale,500,4,4,unfurnished,"Lekki, Chevron",Chevron,Lekki,diamond,"₦ 350,000,000"
7bdrm Duplex in Ikeja GRA for sale,500,7,7,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,diamond,"₦ 2,000,000,000"
4bdrm Duplex in GRA Phase 1 for sale,500,4,4,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,diamond,"₦ 420,000,000"
1bdrm Apartment in Lekki Expressway for sale,500,1,1,unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,diamond,"₦ 82,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,500,4,4,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 370,000,000"
4bdrm Duplex in Papa Ajao / Mushin for sale,500,4,4,semi-furnished,"Mushin, Papa Ajao / Mushin",Papa Ajao / Mushin,Mushin,diamond,"₦ 320,000,000"
5bdrm Duplex in Lekki for sale,500,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,diamond,"₦ 430,000,000"
2bdrm Maisonette in Cement for sale,500,2,2,semi-furnished,"Agege, Cement",Cement,Agege,diamond,"₦ 140,000,000"
"4bdrm Duplex in Admiralty Estate, Asokoro for sale",1000,4,4,unfurnished,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),diamond,"₦ 915,000,000"
Furnished 5bdrm Duplex in Oluyole for sale,500,5,5,furnished,"Oyo State, Oluyole",Oluyole,Oyo State,enterprise,"₦ 385,000,000"
"5bdrm Duplex in Estate, Ado / Ajah for sale",250,5,5,semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,enterprise,"₦ 200,000,000"
"5bdrm Duplex in Estate, Chevron for sale",400,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 650,000,000"
3bdrm Apartment in Lekki Phase 1 Lagos for sale,500,3,3,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 340,000,000"
"5bdrm Duplex in Orchild Road, Chevron for sale",500,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 400,000,000"
2bdrm Block of Flats in Obio-Akpor for sale,4200,2,3,unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,diamond,"₦ 550,000,000"
"3bdrm Block of Flats in With Bq, Dakibiyu for sale",2000,3,4,semi-furnished,"Abuja (FCT), Dakibiyu",Dakibiyu,Abuja (FCT),diamond,"₦ 160,000,000"
"3bdrm Block of Flats in Afijagba, Alakia for sale",557,3,3,unfurnished,"Ibadan, Alakia",Alakia,Ibadan,diamond,"₦ 50,000,000"
4bdrm Duplex in Chevron for sale,350,4,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 450,000,000"
5bdrm Duplex in Durumi for sale,600,5,5,unfurnished,"Abuja (FCT), Durumi",Durumi,Abuja (FCT),enterprise,"₦ 300,000,000"
"5bdrm Bungalow in Okebadan Estate, for sale",500,5,5,semi-furnished,"Ibadan, Akobo",Akobo,Ibadan,diamond,"₦ 125,000,000"
3bdrm Block of Flats in Katampe (Main) for sale,200,3,4,semi-furnished,"Katampe, Katampe (Main)",Katampe (Main),Katampe,diamond,"₦ 130,000,000"
7bdrm Duplex in Gwarinpa Karsana for sale,800,7,8,semi-furnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),diamond,"₦ 470,000,000"
2bdrm Block of Flats in Jahi for sale,100,2,3,unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),diamond,"₦ 120,000,000"
3bdrm Block of Flats in Mabushi for sale,180,3,5,unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),diamond,"₦ 230,000,000"
4bdrm Duplex in Lugbe District for sale,310,4,4,unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),diamond,"₦ 390,000,000"
"1bdrm Apartment in A Secured Gated, Ologolo for sale",300,1,1,unfurnished,"Lekki, Ologolo",Ologolo,Lekki,diamond,"₦ 80,000,000"
4bdrm Duplex in Kaura for sale,150,4,5,unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),diamond,"₦ 160,000,000"
4bdrm Duplex in Mabushi for sale,260,4,5,unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),diamond,"₦ 380,000,000"
"4bdrm Duplex in A Well Serene And, Lekki Phase 1 for sale",480,4,4,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 1,100,000,000"
4bdrm Duplex in Kado for sale,250,4,5,unfurnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),diamond,"₦ 450,000,000"
5bdrm Duplex in Akobo Estate Ibadan for sale,400,5,6,semi-furnished,"Ibadan, Akobo",Akobo,Ibadan,diamond,"₦ 200,000,000"
2bdrm Block of Flats in Ibadan for sale,600,2,3,unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,diamond,"₦ 19,000,000"
3bdrm Bungalow in Ibadan for sale,1000,3,4,unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,diamond,"₦ 75,000,000"
5bdrm Duplex in Lekki for sale,400,5,6,semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 1,400,000,000"
"5bdrm Duplex in Ajah, Lekki for sale",320,5,6,semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 300,000,000"
3bdrm Block of Flats in Igbogbo Selewu for sale,600,3,3,unfurnished,"Ikorodu, Igbogbo",Igbogbo,Ikorodu,diamond,"₦ 85,000,000"
"4bdrm Duplex in Akala-Expressway, for sale",500,4,5,unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,enterprise,"₦ 70,000,000"
5bdrm Duplex in Lekki-1 Off Freedom for sale,400,5,5,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 1,100,000,000"
"Furnished 5bdrm Duplex in Wuse 2, Central Business District for sale",800,5,6,furnished,"Abuja (FCT), Central Business District",Central Business District,Abuja (FCT),enterprise,"₦ 1,200,000,000"
"5bdrm Duplex in Cowrie Creek, Ikate for sale",400,5,5,unfurnished,"Lekki, Ikate",Ikate,Lekki,enterprise,"₦ 900,000,000"
1bdrm Apartment in Igbo-efon for sale,250,1,1,unfurnished,"Lekki, Igbo-efon",Igbo-efon,Lekki,enterprise,"₦ 65,000,000"
Furnished 5bdrm Duplex in Osapa london for sale,750,5,5,furnished,"Lekki, Osapa london",Osapa london,Lekki,enterprise,"₦ 1,100,000,000"
